	MV1_02_Oberseite TIS	MV2_01_Oberseite TIS	MV2_02_Oberseite TIS	MV3_01_Oberseite TIS	MV3_03_Oberseite TIS	MV4_01_Oberseite TIS	MV4_03_Oberseite TIS
1060	40.9	57.4	52.5	48.0	28.2	61.8	40.3
1065	40.9	57.4	52.4	48.0	28.3	61.8	40.3
1070	40.9	57.3	52.4	48.0	28.3	61.8	40.3
1075	40.9	57.3	52.4	48.0	28.3	61.8	40.3
1080	40.9	57.3	52.3	48.1	28.3	61.8	40.3
1085	40.9	57.2	52.3	48.1	28.4	61.8	40.3
1090	40.9	57.2	52.2	48.1	28.4	61.8	40.2
1095	40.9	57.2	52.2	48.1	28.4	61.7	40.2
1100	40.9	57.1	52.1	48.2	28.4	61.7	40.2
1105	41.0	57.1	52.1	48.2	28.5	61.7	40.2
1110	41.0	57.0	52.1	48.2	28.5	61.7	40.2
1115	41.0	57.0	52.0	48.2	28.5	61.7	40.2
1120	41.0	57.0	52.0	48.3	28.5	61.7	40.1
1125	41.0	56.9	51.9	48.3	28.6	61.6	40.1
1130	41.0	56.9	51.9	48.3	28.6	61.6	40.1
1135	41.0	56.8	51.8	48.3	28.6	61.6	40.1
1140	41.0	56.8	51.8	48.4	28.6	61.6	40.1
1145	41.0	56.8	51.8	48.4	28.7	61.6	40.1
1150	41.0	56.7	51.7	48.4	28.7	61.6	40.1
1155	41.0	56.7	51.7	48.4	28.7	61.6	40.1
1160	41.0	56.7	51.6	48.5	28.8	61.5	40.1
1165	41.0	56.6	51.6	48.5	28.8	61.5	40.1
1170	41.0	56.6	51.6	48.5	28.8	61.5	40.1
1175	41.0	56.6	51.5	48.6	28.9	61.5	40.1
1180	41.0	56.5	51.5	48.6	28.9	61.5	40.1
1185	41.0	56.5	51.4	48.6	28.9	61.5	40.1
1190	41.0	56.5	51.4	48.7	28.9	61.5	40.1
1195	41.0	56.4	51.4	48.7	29.0	61.5	40.1
1200	41.0	56.4	51.3	48.7	29.0	61.5	40.1
1205	41.0	56.4	51.3	48.8	29.0	61.5	40.1
1210	41.0	56.3	51.3	48.8	29.1	61.5	40.2
1215	41.0	56.3	51.2	48.8	29.1	61.5	40.2
1220	41.0	56.3	51.2	48.9	29.2	61.6	40.2
1225	41.0	56.2	51.2	48.9	29.2	61.6	40.2
1230	41.1	56.2	51.1	48.9	29.2	61.6	40.3
1235	41.1	56.2	51.1	49.0	29.3	61.6	40.3
1240	41.1	56.2	51.1	49.0	29.3	61.6	40.3
1245	41.1	56.1	51.0	49.1	29.3	61.7	40.4
1250	41.1	56.1	51.0	49.1	29.4	61.7	40.4
1255	41.1	56.1	51.0	49.1	29.4	61.7	40.4
1260	41.1	56.0	50.9	49.2	29.4	61.7	40.5
1265	41.1	56.0	50.9	49.2	29.5	61.7	40.5
1270	41.1	55.9	50.8	49.2	29.5	61.7	40.5
1275	41.1	55.9	50.8	49.3	29.6	61.8	40.6
1280	41.1	55.9	50.8	49.3	29.6	61.8	40.6
1285	41.1	55.9	50.8	49.4	29.7	61.8	40.7
1290	41.1	55.8	50.7	49.4	29.7	61.9	40.7
1295	41.2	55.8	50.7	49.5	29.8	61.9	40.8
1300	41.1	55.8	50.7	49.5	29.8	61.9	40.8
1305	41.1	55.7	50.6	49.5	29.8	61.9	40.8
1310	41.1	55.7	50.5	49.5	29.8	61.9	40.9
1315	41.1	55.6	50.5	49.5	29.8	61.9	40.9
1320	41.1	55.6	50.4	49.5	29.8	61.9	40.9
1325	41.1	55.5	50.4	49.6	29.8	61.9	41.0
1330	41.1	55.5	50.3	49.6	29.9	61.9	41.0
1335	41.1	55.4	50.3	49.6	29.9	61.9	41.0
1340	41.1	55.4	50.2	49.6	29.9	61.8	41.0
1345	41.1	55.3	50.1	49.6	29.9	61.8	41.0
1350	41.0	55.2	50.1	49.6	29.9	61.7	40.9
1355	41.0	55.2	50.0	49.6	29.9	61.6	40.9
1360	41.0	55.1	49.9	49.6	30.0	61.6	40.8
1365	41.0	55.0	49.8	49.7	30.0	61.5	40.8
1370	41.0	54.9	49.7	49.7	30.0	61.3	40.7
1375	40.9	54.8	49.6	49.7	30.0	61.2	40.6
1380	40.9	54.7	49.4	49.6	30.0	61.1	40.5
1385	40.9	54.6	49.3	49.6	30.0	60.9	40.5
1390	40.8	54.4	49.2	49.6	30.0	60.8	40.4
1395	40.8	54.3	49.0	49.6	30.0	60.6	40.3
1400	40.7	54.2	48.9	49.6	30.0	60.5	40.2
1405	40.7	54.1	48.8	49.6	30.1	60.3	40.1
1410	40.7	54.0	48.7	49.6	30.1	60.2	40.0
1415	40.7	53.9	48.6	49.6	30.2	60.1	40.0
1420	40.6	53.8	48.5	49.6	30.2	60.0	39.9
1425	40.6	53.7	48.4	49.6	30.3	59.8	39.8
1430	40.6	53.6	48.3	49.6	30.3	59.7	39.8
1435	40.6	53.6	48.2	49.7	30.3	59.6	39.7
1440	40.6	53.5	48.1	49.7	30.4	59.6	39.7
1445	40.6	53.4	48.1	49.7	30.4	59.5	39.6
1450	40.6	53.4	48.0	49.8	30.5	59.5	39.6
1455	40.5	53.3	47.9	49.8	30.5	59.4	39.6
1460	40.5	53.2	47.9	49.8	30.6	59.4	39.6
1465	40.5	53.2	47.8	49.8	30.6	59.4	39.7
1470	40.5	53.1	47.8	49.9	30.6	59.4	39.7
1475	40.5	53.1	47.7	49.9	30.7	59.4	39.7
1480	40.5	53.1	47.7	49.9	30.7	59.5	39.8
1485	40.5	53.1	47.7	50.0	30.8	59.5	39.8
1490	40.5	53.1	47.7	50.0	30.8	59.6	39.9
1495	40.5	53.0	47.7	50.1	30.9	59.6	39.9
1500	40.5	53.0	47.7	50.1	30.9	59.7	40.0
1505	40.5	53.0	47.7	50.2	31.0	59.8	40.0
1510	40.5	53.0	47.6	50.2	31.0	59.8	40.1
1515	40.5	53.0	47.6	50.3	31.1	59.9	40.1
1520	40.5	53.0	47.6	50.4	31.1	60.0	40.2
1525	40.5	53.0	47.6	50.4	31.2	60.0	40.2
1530	40.5	53.0	47.6	50.5	31.2	60.1	40.3
1535	40.5	53.0	47.6	50.5	31.3	60.1	40.3
1540	40.5	53.0	47.6	50.6	31.3	60.2	40.4
