Wavelength [nm]	MV4_03 [%]	MV4_02 [%]	MV4_01 [%]	MV3_03 [%]	MV3_02 [%]	MV3_01 [%]	MV2_02 [%]	MV2_01 [%]	MV1_02 [%]	MV1_01 [%]
1950	33.28383	49.00188	38.37055	36.66427	38.37055	35.15151	34.47192	33.75765	36.05971	41.36434
1960	33.96075	49.72004	39.05616	36.93571	39.05616	35.45404	34.67026	33.96726	36.17287	41.44371
1970	34.5265	50.48481	39.65766	37.12828	39.65766	35.65076	34.79951	34.00307	36.1563	41.45852
1980	34.91607	51.0779	40.14275	37.21111	40.14275	35.79238	34.74151	33.98191	36.02946	41.39338
1990	35.32144	51.65944	40.6096	37.33898	40.6096	35.73558	34.71058	33.97835	35.8304	41.29187
2000	35.70535	52.13317	41.08516	37.47546	41.08516	35.75276	34.73392	33.97502	35.69135	41.34912
2010	36.08975	52.73577	41.56328	37.81356	41.56328	35.88161	34.8582	34.06295	35.5746	41.45622
2020	36.52851	53.36555	42.02901	38.10371	42.02901	36.15166	35.11571	34.17196	35.50571	41.61409
2030	36.99299	54.01935	42.5541	38.57008	42.5541	36.48686	35.39756	34.41925	35.55064	41.92067
2040	37.52238	54.51176	43.01124	38.92957	43.01124	36.93095	35.65337	34.69388	35.75052	42.20299
2050	37.99796	54.87604	43.37758	39.22412	43.37758	37.20728	35.96216	34.93209	35.99996	42.4837
2060	38.39422	55.02016	43.64261	39.51393	43.64261	37.41252	36.12858	35.10774	36.19948	42.62439
2070	38.66847	55.20398	43.82265	39.74676	43.82265	37.62362	36.26163	35.26942	36.40405	42.85499
2080	38.94788	55.20764	43.90919	39.96966	43.90919	37.82474	36.30785	35.41807	36.58484	42.94435
2090	39.04092	55.1816	43.93165	40.0405	43.93165	37.905	36.34637	35.56116	36.68528	42.99832
2100	39.05317	55.08589	43.79102	40.09574	43.79102	37.94389	36.36955	35.46782	36.73891	43.00227
2110	38.98763	54.93684	43.64144	40.10109	43.64144	37.87765	36.25703	35.43594	36.65046	42.92699
2120	38.81514	54.61375	43.30684	39.8997	43.30684	37.86488	35.98171	35.22469	36.66367	42.89184
2130	38.46304	54.2965	42.94208	39.79297	42.94208	37.7185	35.65662	34.92875	36.59419	42.74843
2140	38.01347	53.83497	42.42698	39.52	42.42698	37.41702	35.28466	34.62768	36.49361	42.41522
2150	37.61249	53.37356	41.91387	39.09377	41.91387	37.08768	34.78863	34.54607	36.24272	42.12784
2160	37.12273	52.99014	41.31685	38.73884	41.31685	36.77608	34.29526	34.25562	35.90366	41.75285
2170	36.65579	52.52925	40.7337	38.32397	40.7337	36.44267	33.70617	33.39879	35.49043	41.39955
2180	36.02358	51.92311	40.15986	37.91491	40.15986	35.93016	33.15623	32.42811	34.99384	40.92318
2190	35.53794	51.46985	39.74042	37.39117	39.74042	35.37801	32.82801	32.14374	34.55288	40.62856
2200	34.96014	51.09475	39.20735	36.92248	39.20735	35.13407	32.39094	31.62732	34.25351	40.48613
2210	34.47845	51.01161	38.87349	36.55864	38.87349	34.75583	31.9114	31.39171	33.79929	40.15672
2220	34.14788	50.95812	38.61386	36.46266	38.61386	34.57064	31.87049	31.18257	33.14768	39.91377
2230	33.91019	50.76944	38.46264	36.2604	38.46264	34.46114	31.96246	30.95676	32.83761	39.84423
2240	33.96465	50.59044	38.18056	36.12064	38.18056	34.19592	31.8049	30.65577	32.80997	39.71233
2250	33.871	50.57138	37.84286	36.15988	37.84286	34.16924	31.45088	30.82782	32.37258	39.59081
2260	33.44573	50.17904	37.25957	36.13176	37.25957	34.14008	31.25356	30.88978	32.43118	39.42737
2270	33.08694	50.40313	37.02274	36.35555	37.02274	34.06239	31.29378	30.84634	32.29354	39.6097
2280	33.26257	50.03479	36.76237	36.46892	36.76237	33.87836	31.32906	30.87776	32.32998	39.61911
2290	32.87473	49.38522	36.72989	36.55615	36.72989	33.82854	30.79216	30.96055	32.1426	39.78323
2300	32.71152	49.25441	36.31872	36.7483	36.31872	33.78572	30.65819	31.22047	32.09768	39.80283
2310	32.08664	48.89791	36.30625	36.8107	36.30625	33.49504	31.04184	31.57267	32.53121	40.04224
2320	32.12817	48.48587	35.72825	36.64084	35.72825	33.25898	31.16111	31.61246	33.12224	40.15202
2330	31.58992	47.83891	35.47787	36.92575	35.47787	33.19269	31.44498	31.62308	33.78649	39.97682
