		Putz	90degreen	Gruenwand	Efeu	Optigruen														
01.11.2011	14:00:00	2.000985714	2.244256501	2.045281271	1.583153935	6.740028727														
01.11.2011	14:10:00	2.008157706	2.327377112	2.077746053	1.558024508	6.074346877														
01.11.2011	14:20:00	2.06553364	2.319065051	2.118327031	1.526612723	6.833640237														
01.11.2011	14:30:00	2.06553364	2.308378115	2.170502574	1.550844671	7.595905391														
01.11.2011	14:40:00	2.06553364	2.393873601	2.077746053	1.541271556	7.87723522														
01.11.2011	14:50:00	1.910618617	2.334026761	1.869971448	1.492687996	5.392022982														
01.11.2011	15:00:00	1.82535531	2.338202122	1.685148689	1.346469792	5.015835332														
02.11.2011	13:00:00	2.06553364	2.393873601	2.19996641	1.59645775	10.22017428														
02.11.2011	13:10:00	2.06553364	2.393873601	2.207605182	1.608283363	9.485966357														
02.11.2011	13:20:00	2.06553364	2.393873601	2.207605182	1.608283363	9.485966357														
02.11.2011	13:30:00	2.06553364	2.267880253	2.091415435	1.52363687	8.986704969														
02.11.2011	13:40:00	2.06553364	2.393873601	2.207605182	1.608283363	9.485966357														
02.11.2011	13:50:00	2.06553364	2.260880623	2.077746053	1.507765652	9.485966357														
02.11.2011	14:00:00	2.06553364	2.393873601	2.19996641	1.59645775	9.691544575														
02.11.2011	14:10:00	2.06553364	2.253057507	2.19996641	1.59645775	9.691544575														
02.11.2011	14:20:00	2.06553364	2.393873601	2.170502574	1.550844671	11.55433496														
02.11.2011	14:30:00	2.06553364	2.393873601	2.181633356	1.568076279	10.58434141														
02.11.2011	14:40:00	2.06553364	2.234282027	2.181633356	1.568076279	10.58434141														
02.11.2011	14:50:00	2.06553364	2.393873601	2.157659363	1.670140415	12.21270163														
02.11.2011	15:00:00	2.06553364	2.393873601	2.191372791	1.583153935	9.92282007														
03.11.2011	13:00:00	2.06553364	2.393873601	2.124967555	1.644835257	0														
03.11.2011	13:10:00	2.06553364	2.260880623	2.077746053	1.507765652	0.166420462														
03.11.2011	13:20:00	2.06553364	2.127887645	2.077746053	1.407247942	0														
03.11.2011	13:30:00	2.06553364	2.393873601	2.142675618	1.658542218	0														
03.11.2011	13:40:00	2.06553364	2.393873601	2.142675618	1.658542218	0														
03.11.2011	13:50:00	2.06553364	2.176248728	2.124967555	1.480351732	0														
03.11.2011	14:00:00	2.06553364	2.393873601	2.103717879	1.628386905	0														
03.11.2011	14:10:00	2.06553364	2.393873601	2.33746431	1.608283363	0														
03.11.2011	14:20:00	2.06553364	2.393873601	2.33746431	1.583153935	0														
03.11.2011	14:30:00	2.06553364	2.393873601	2.045281271	1.583153935	0														
03.11.2011	14:40:00	2.06553364	2.393873601	2.045281271	1.583153935	0														
03.11.2011	14:50:00	2.06553364	2.393873601	2.33746431	1.550844671	0														
03.11.2011	15:00:00	2.06553364	2.393873601	2.33746431	1.809318783	0														
04.11.2011	13:00:00	1.997811226	2.315385942	2.030911614	1.54237011	0														
04.11.2011	13:10:00	1.968711751	2.281660776	1.935712632	1.526612723	0														
04.11.2011	13:20:00	1.868816151	2.251381125	1.836579101	1.486226143	0														
04.11.2011	13:30:00	1.82122321	2.265170719	1.784515764	1.498038132	0														
04.11.2011	13:40:00	1.812611154	2.247309911	1.788875748	1.495457361	0														
04.11.2011	13:50:00	1.804624128	2.217482914	1.796156786	1.485545948	0														
04.11.2011	14:00:00	1.740618236	2.178693951	1.7334005	1.443389141	0														
04.11.2011	14:10:00	1.559688667	2.051891658	1.526507305	1.273908123	0														
04.11.2011	14:20:00	1.441570353	1.994894667	1.387869434	1.168518381	0														
04.11.2011	14:30:00	1.377022427	2.059246108	1.306969292	1.128392359	0														
04.11.2011	14:40:00	1.308853	2.109452975	1.203446972	1.074842841	0														
04.11.2011	14:50:00	1.689982069	2.21251954	1.593725666	1.315868206	0														
04.11.2011	15:00:00	1.403917396	2.188150088	1.095686395	0.819847574	0														
05.11.2011	13:00:00	1.755703594	2.214333081	1.869971448	1.537920966	0														
05.11.2011	13:10:00	1.763260425	2.218712118	1.852868051	1.544540424	0														
05.11.2011	13:20:00	1.797282518	2.269516531	1.821400761	1.550844671	0														
05.11.2011	13:30:00	1.803705433	2.259007483	1.81071179	1.554485152	0														
05.11.2011	13:40:00	1.807341935	2.227632379	1.785563015	1.53289508	0														
05.11.2011	13:50:00	1.796116209	2.25509832	1.795443601	1.547098669	0														
05.11.2011	14:00:00	1.659199154	2.119166794	1.609401656	1.423726255	0														
05.11.2011	14:10:00	1.427648251	1.971425318	1.374979006	1.223950941	0														
05.11.2011	14:20:00	1.041747401	1.790201128	1.01628883	0.912525995	0														
05.11.2011	14:30:00	0.947492496	1.888744309	0.857785068	0.863161254	0														
05.11.2011	14:40:00	0.986866073	2.021493263	0.857070247	0.884555849	0														
05.11.2011	14:50:00	1.077669725	2.107649583	0.838438285	0.707994306	0														
05.11.2011	15:00:00	1.101617942	2.122567926	0.716822388	0.53073351	0														
06.11.2011	13:00:00	1.082339628	1.216087789	0.589041006	1.07111672	1.689500534														
06.11.2011	13:10:00	1.027628677	1.155252434	0.616346311	1.026180802	1.609559099														
06.11.2011	13:20:00	0.996799817	1.119522978	0.616346311	0.990174458	1.549945799														
06.11.2011	13:30:00	0.97068794	1.08574595	0.638651451	0.968924813	1.505968774														
06.11.2011	13:40:00	0.75441405	0.850217072	0.429810818	0.756541355	1.199736432														
06.11.2011	13:50:00	0.818563332	0.922084646	0.502121963	0.817544043	1.286984909														
06.11.2011	14:00:00	1.139604767	1.258847325	0.806022176	1.123025451	1.730198945														
06.11.2011	14:10:00	1.057553224	1.187361306	0.729288865	1.042167619	1.605624621														
06.11.2011	14:20:00	0.720739398	0.804748998	0.467492862	0.723727513	1.121744734														
06.11.2011	14:30:00	0.658337415	0.734375567	0.43769252	0.663176606	1.026370023														
06.11.2011	14:40:00	0.647406066	0.726498953	0.453537851	0.648114191	0.998522774														
06.11.2011	14:50:00	0.433581406	0.495524856	0.327108708	0.453648441	0.698674828														
06.11.2011	15:00:00	0.285921124	0.325658223	0.306827057	0.388636493	0.586244875														
07.11.2011	13:00:00	0.413106728	0.263326096	0.420743576	0.778007077	0.269601149														
07.11.2011	13:10:00	0.385732186	0.24515573	0.45059553	0.74116673	0.252638292														
07.11.2011	13:20:00	0.380159566	0.234981458	0.444548427	0.710407375	0.257288077														
07.11.2011	13:30:00	0.391506376	0.23469349	0.458326335	0.733188004	0.254525413														
07.11.2011	13:40:00	0.391739139	0.231132624	0.507793971	0.767400725	0.289227286														
07.11.2011	13:50:00	0.396480142	0.229752575	0.521044676	0.761818435	0.296774571														
07.11.2011	14:00:00	0.408648742	0.232498515	0.52130499	0.767984232	0.290936492														
07.11.2011	14:10:00	0.42061776	0.226329868	0.535491824	0.802679606	0.30500332														
07.11.2011	14:20:00	0.419561521	0.22442565	0.438274558	0.791576968	0.234028775														
07.11.2011	14:30:00	0.440195694	0.235462977	0.421509958	0.830506982	0.245538387														
07.11.2011	14:40:00	0.454417401	0.287264832	0.420743576	0.83228664	0.239645466														
07.11.2011	14:50:00	0.413106728	0.265985956	0.415549211	0.804141681	0.26627274														
07.11.2011	15:00:00	0.466410822	0.270276052	0.490113484	0.58365122	0.289893709														
08.11.2011	13:00:00	0.349899141	0.235462977	0.52369419	0.721750116	0.245538387														
08.11.2011	13:10:00	0.346843995	0.227987962	0.521389282	0.730076	0.262769151														
08.11.2011	13:20:00	0.353250409	0.227446423	0.521904145	0.743496792	0.270383839														
08.11.2011	13:30:00	0.361468387	0.223065495	0.515304632	0.75251213	0.272324393														
08.11.2011	13:40:00	0.371433681	0.225738081	0.517727841	0.765786239	0.282476837														
08.11.2011	13:50:00	0.381192904	0.226030984	0.521665855	0.76876635	0.289271619														
08.11.2011	14:00:00	0.390302535	0.223631504	0.526053539	0.775971113	0.292560813														
08.11.2011	14:10:00	0.398286756	0.220064614	0.529336088	0.791069871	0.29552692														
08.11.2011	14:20:00	0.415760519	0.215294842	0.530559351	0.809737956	0.30148118														
08.11.2011	14:30:00	0.428440384	0.214298728	0.525674288	0.813798405	0.307405483														
08.11.2011	14:40:00	0.444956226	0.217131392	0.524736886	0.783627863	0.305670237														
08.11.2011	14:50:00	0.459007476	0.230521162	0.519436513	0.607573715	0.31065153														
08.11.2011	15:00:00	0.476220256	0.246037009	0.52592947	0.457355581	0.316198879														
09.11.2011	13:00:00	0.449029052	0.260203652	0.406515532	0.825993357	0.260484202														
09.11.2011	13:10:00	0.439475243	0.254667404	0.447599549	0.808419031	0.254941985														
09.11.2011	13:20:00	0.427351788	0.288915779	0.443312197	0.811073937	0.258238649														
09.11.2011	13:30:00	0.426221227	0.265985956	0.445231297	0.804141681	0.285292221														
09.11.2011	13:40:00	0.433762064	0.263326096	0.467492862	0.778007077	0.269601149														
09.11.2011	13:50:00	0.433328736	0.251105622	0.474031224	0.771807313	0.272324393														
09.11.2011	14:00:00	0.426432752	0.247109533	0.482573277	0.770419611	0.270567461														
09.11.2011	14:10:00	0.434849187	0.251986695	0.45694791	0.789026236	0.270276841														
09.11.2011	14:20:00	0.449494367	0.248069803	0.50867099	0.787475532	0.294900508														
09.11.2011	14:30:00	0.452560741	0.242077106	0.512141057	0.792847557	0.302922639														
09.11.2011	14:40:00	0.462964437	0.247642097	0.510480711	0.779878786	0.309886378														
09.11.2011	14:50:00	0.473857718	0.25346897	0.508742232	0.70244141	0.317177822														
09.11.2011	15:00:00	0.477847335	0.250106197	0.505869142	0.675118949	0.312969825														
10.11.2011	13:00:00	0.438143499	0.290166497	0.424993511	0.822417629	0.272324393														
10.11.2011	13:10:00	0.413106728	0.23938736	0.389577385	0.784038139	0.299556832														
10.11.2011	13:20:00	0.430319508	0.2992342	0.389577385	0.829271109	0.249630694														
10.11.2011	13:30:00	0.375551571	0.326437309	0.424993511	0.822417629	0.272324393														
10.11.2011	13:40:00	0.413106728	0.2992342	0.409056254	0.814193452	0.224667624														
10.11.2011	13:50:00	0.433095763	0.308886916	0.452412447	0.817111708	0.289893709														
10.11.2011	14:00:00	0.438143499	0.290166497	0.424993511	0.822417629	0.272324393														
10.11.2011	14:10:00	0.423699208	0.245525498	0.419544876	0.835070208	0.230428333														
10.11.2011	14:20:00	0.436939809	0.276216185	0.404561131	0.800275616	0.230428333														
10.11.2011	14:30:00	0.420756853	0.265985956	0.432863761	0.804141681	0.277367437														
10.11.2011	14:40:00	0.432320995	0.278357395	0.434877081	0.799466439	0.278657518														
10.11.2011	14:50:00	0.399780705	0.308886916	0.452412447	0.817111708	0.289893709														
10.11.2011	15:00:00	0.393434979	0.227987962	0.445231297	0.775422336	0.285292221														
11.11.2011	13:00:00	0.349455842	0.231431889	0.54376058	0.710608585	0.244351495														
11.11.2011	13:10:00	0.349104277	0.229272401	0.539921334	0.723727513	0.261584839														
11.11.2011	13:20:00	0.354247194	0.221070121	0.536568324	0.730411013	0.276635597														
11.11.2011	13:30:00	0.358997031	0.223106608	0.535791567	0.729196487	0.27918395														
11.11.2011	13:40:00	0.372306064	0.218699564	0.536751064	0.75499969	0.288462135														
11.11.2011	13:50:00	0.388220781	0.219198065	0.540714636	0.723727513	0.295947714														
11.11.2011	14:00:00	0.397770979	0.216615013	0.547758458	0.734642197	0.298861805														
11.11.2011	14:10:00	0.415059951	0.215052475	0.552592035	0.74425879	0.304514038														
11.11.2011	14:20:00	0.42816301	0.212667586	0.553750087	0.807805197	0.307062812														
11.11.2011	14:30:00	0.442614352	0.216588564	0.545408339	0.818501354	0.313821443														
11.11.2011	14:40:00	0.463916647	0.224025604	0.543741698	0.793391124	0.320381639														
11.11.2011	14:50:00	0.453409824	0.248145434	0.484596259	0.739172917	0.292250568														
11.11.2011	15:00:00	0.454417401	0.263326096	0.467492862	0.796100264	0.269601149														
12.11.2011	13:00:00	0.341154205	0.230041908	0.547514163	0.706340666	0.242883918														
12.11.2011	13:10:00	0.343285873	0.222529095	0.539921334	0.723727513	0.261584839														
12.11.2011	13:20:00	0.346086754	0.222833979	0.534632794	0.731426742	0.270875859														
12.11.2011	13:30:00	0.356488039	0.218729568	0.533938548	0.716380026	0.281309716														
12.11.2011	13:40:00	0.362727859	0.216032496	0.535906452	0.750205349	0.284944304														
12.11.2011	13:50:00	0.37688647	0.215562078	0.53728445	0.698860099	0.291038629														
12.11.2011	14:00:00	0.389088895	0.211551621	0.543596351	0.702688923	0.299556832														
12.11.2011	14:10:00	0.406489458	0.208162922	0.550935524	0.699713671	0.301613287														
12.11.2011	14:20:00	0.419634374	0.210747337	0.548750086	0.800511245	0.304290236														
12.11.2011	14:30:00	0.43264556	0.210272681	0.542249603	0.819083503	0.310351673														
12.11.2011	14:40:00	0.448406841	0.210085905	0.539830095	0.798105976	0.311317724														
12.11.2011	14:50:00	0.463996687	0.219727529	0.536374661	0.611846931	0.31836958														
12.11.2011	15:00:00	0.479980402	0.237512263	0.543170558	0.529095832	0.320674416														
13.11.2011	13:00:00	0.350630711	0.229043462	0.555508493	0.698039654	0.249630694														
13.11.2011	13:10:00	0.349187635	0.22635481	0.549203649	0.715432642	0.266082														
13.11.2011	13:20:00	0.352652085	0.220573719	0.538440288	0.720785531	0.276014425														
13.11.2011	13:30:00	0.354848087	0.21483481	0.539414841	0.69589184	0.284194943														
13.11.2011	13:40:00	0.368664928	0.216560692	0.537216736	0.743192067	0.285640989														
13.11.2011	13:50:00	0.377310595	0.213037932	0.541941374	0.669490322	0.294646065														
13.11.2011	14:00:00	0.390522306	0.212667586	0.543101047	0.667675724	0.300239194														
13.11.2011	14:10:00	0.405729822	0.208395247	0.547843198	0.650223938	0.30089414														
13.11.2011	14:20:00	0.422286878	0.207469045	0.555797069	0.788058848	0.306213651														
13.11.2011	14:30:00	0.435336687	0.203962325	0.545058942	0.815410483	0.308959962														
13.11.2011	14:40:00	0.45168845	0.207214571	0.532452007	0.795440832	0.31388643														
13.11.2011	14:50:00	0.466249098	0.220794167	0.538978421	0.623600163	0.312644267														
13.11.2011	15:00:00	0.48285202	0.236278433	0.552491564	0.554544458	0.319008575														
14.11.2011	13:00:00	0.378831497	0.24043272	0.367461638	0.711085985	0.248540603														
14.11.2011	13:10:00	0.379245521	0.235462977	0.375527053	0.71779532	0.265181458														
14.11.2011	13:20:00	0.391047631	0.232414913	0.374448166	0.720214273	0.276290282														
14.11.2011	13:30:00	0.395317443	0.229078813	0.380257352	0.692562214	0.272324393														
14.11.2011	13:40:00	0.393434979	0.227987962	0.374399045	0.712761945	0.285292221														
14.11.2011	13:50:00	0.401428799	0.21993185	0.388200786	0.658515317	0.285796271														
14.11.2011	14:00:00	0.411799428	0.212115382	0.399440104	0.647003236	0.293869044														
14.11.2011	14:10:00	0.430685738	0.224107316	0.407812922	0.67753214	0.242194886														
14.11.2011	14:20:00	0.431604044	0.226286559	0.395391973	0.738130051	0.283163175														
14.11.2011	14:30:00	0.440367578	0.23088121	0.391554935	0.771486182	0.288912681														
14.11.2011	14:40:00	0.449029052	0.223031702	0.377478708	0.775422336	0.279090216														
14.11.2011	14:50:00	0.464745069	0.23938736	0.394447102	0.712419271	0.28083453														
14.11.2011	15:00:00	0.466867193	0.245945918	0.400250738	0.669200098	0.287246278														
15.11.2011	13:00:00	0.397806479	0.248253559	0.328976458	0.737129875	0.244083345														
15.11.2011	13:10:00	0.422152861	0.262102949	0.341235666	0.792402387	0.240520084														
15.11.2011	13:20:00	0.422152861	0.244629419	0.341235666	0.77919568	0.240520084														
15.11.2011	13:30:00	0.402714106	0.240892941	0.338123768	0.751037985	0.244920681														
15.11.2011	13:40:00	0.399412582	0.224838957	0.322854186	0.709732782	0.248251518														
15.11.2011	13:50:00	0.41499306	0.229549523	0.352220649	0.710508746	0.273567883														
15.11.2011	14:00:00	0.420312078	0.236603786	0.339747719	0.736350667	0.261241424														
15.11.2011	14:10:00	0.418689251	0.226447503	0.331667233	0.709057361	0.263124245														
15.11.2011	14:20:00	0.435382091	0.222958816	0.343744751	0.691798358	0.27899901														
15.11.2011	14:30:00	0.403788531	0.215988596	0.316348553	0.721006733	0.247753771														
15.11.2011	14:40:00	0.434849187	0.233987645	0.351498392	0.775422336	0.270276841														
15.11.2011	14:50:00	0.442614352	0.244272816	0.333923473	0.793884772	0.24453619														
15.11.2011	15:00:00	0.390776635	0.258797146	0.315873555	0.83130863	0.242883918														
16.11.2011	13:00:00	0.413106728	0.273585554	0.333923473	0.827117158	0.256762999														
16.11.2011	13:10:00	0.387287558	0.22442565	0.292183039	0.84811818	0.18722302														
16.11.2011	13:20:00	0.38250623	0.265985956	0.259718257	0.804141681	0.22189395														
16.11.2011	13:30:00	0.442614352	0.256486457	0.333923473	0.840040864	0.213969166														
16.11.2011	13:40:00	0.442614352	0.256486457	0.333923473	0.840040864	0.213969166														
16.11.2011	13:50:00	0.397218008	0.276216185	0.26970742	0.835070208	0.230428333														
16.11.2011	14:00:00	0.430319508	0.2992342	0.292183039	0.829271109	0.249630694														
16.11.2011	14:10:00	0.375551571	0.217624873	0.318745133	0.822417629	0.272324393														
16.11.2011	14:20:00	0.413106728	0.23938736	0.233746431	0.814193452	0.299556832														
16.11.2011	14:30:00	0.364505937	0.281632188	0.274995801	0.851444133	0.352419803														
16.11.2011	14:40:00	0.476661609	0.368288246	0.359609894	0.835070208	0.230428333														
16.11.2011	14:50:00	0.344255607	0.199489467	0.389577385	0.753882826	0.249630694														
16.11.2011	15:00:00	0.375551571	0.217624873	0.424993511	0.822417629	0.272324393														
17.11.2011	13:00:00	0.397218008	0.276216185	0.26970742	0.835070208	0.230428333														
17.11.2011	13:10:00	0.368845293	0.256486457	0.333923473	0.840040864	0.213969166														
17.11.2011	13:20:00	0.427351788	0.247642097	0.32240887	0.811073937	0.206590919														
17.11.2011	13:30:00	0.430319508	0.2992342	0.292183039	0.829271109	0.249630694														
17.11.2011	13:40:00	0.449029052	0.312244383	0.304886649	0.78666034	0.260484202														
17.11.2011	13:50:00	0.375551571	0.217624873	0.318745133	0.822417629	0.272324393														
17.11.2011	14:00:00	0.434849187	0.251986695	0.246048875	0.857045739	0.315322981														
17.11.2011	14:10:00	0.393434979	0.227987962	0.333923473	0.861580373	0.285292221														
17.11.2011	14:20:00	0.344255607	0.265985956	0.259718257	0.804141681	0.332840925														
17.11.2011	14:30:00	0.413106728	0.319183147	0.311661908	0.844348765	0.199704555														
17.11.2011	14:40:00	0.317774406	0.368288246	0.359609894	0.835070208	0.230428333														
17.11.2011	14:50:00	0.375551571	0.217624873	0.212496755	0.822417629	0.272324393														
17.11.2011	15:00:00	0.413106728	0.23938736	0.233746431	0.723727513	0.299556832														
18.11.2011	13:00:00	0.419561521	0.261829925	0.328705919	0.819847574	0.234028775														
18.11.2011	13:10:00	0.425256926	0.281632188	0.309370276	0.824836504	0.264314852														
18.11.2011	13:20:00	0.425256926	0.281632188	0.309370276	0.824836504	0.264314852														
18.11.2011	13:30:00	0.425256926	0.281632188	0.309370276	0.798228875	0.264314852														
18.11.2011	13:40:00	0.419093782	0.277550562	0.304886649	0.812882352	0.260484202														
18.11.2011	13:50:00	0.408006645	0.265985956	0.317433425	0.804141681	0.258876275														
18.11.2011	14:00:00	0.428220389	0.262742224	0.313562286	0.772270212	0.255719247														
18.11.2011	14:10:00	0.399613292	0.21653128	0.381746684	0.527339143	0.286009036														
18.11.2011	14:20:00	0.413106728	0.208162922	0.392965014	0.57688425	0.286532622														
18.11.2011	14:30:00	0.424909777	0.205189166	0.36731582	0.672032691	0.290998066														
18.11.2011	14:40:00	0.437945424	0.204539833	0.347660831	0.732888621	0.293869044														
18.11.2011	14:50:00	0.463839133	0.218388469	0.352670054	0.672939618	0.294301449														
