datetime               Putz         90degreen GrünwanEfeu   Optigruen                                        
24.10.2011 13:00:00      1.445873548       ###    ###    ###         0                                       
28.10.2011	14:00:00       2.06553364       ###    ###    ###       ###                                       
28.10.2011	14:10:00       2.06553364       ###    ###    ###       ###                                       
28.10.2011	14:20:00       2.06553364       ###    ###    ###       ###                                       
28.10.2011	14:30:00       2.06553364       ###    ###    ###       ###                                       
28.10.2011	14:40:00      2.360609875       ###    ###    ###       ###                                       
28.10.2011	14:50:00       2.06553364       ###    ###    ###       ###                                       
28.10.2011	15:00:00       2.06553364       ###    ###    ###       ###                                       
29.10.2011	13:00:00       2.065533642.27987962    ###    ###       ###                                       
29.10.2011	13:10:00       2.03110808       ###    ###    ###2.74593763                                       
29.10.2011	13:20:00       2.02581184       ###    ###    ###       ###                                       
29.10.2011	13:30:00      2.015154771       ###    ###    ###       ###                                       
29.10.2011	13:40:00      2.004782651       ###    ###    ###       ###                                       
29.10.2011	13:50:00      1.9671748962.27987962    ###    ###       ###                                       
29.10.2011	14:00:00      2.000985714       ###    ###    ###       ###                                       
29.10.2011	14:10:00       2.06553364       ###    ###    ###       ###                                       
29.10.2011	14:20:00       2.06553364       ###    ###    ###       ###                                       
29.10.2011	14:30:00       2.06553364       ###    ###    ###5.12145552                                       
29.10.2011	14:40:00       2.06553364       ###    ###    ###       ###                                       
29.10.2011	14:50:00       2.06553364       ###    ###    ###5.37136389                                       
29.10.2011	15:00:00       2.06553364       ###    ###    ###       ###                                       
30.10.2011	13:00:00      1.996682519       ###    ###    ###       ###                                       
30.10.2011	13:10:00      2.027978483       ###    ###    ###       ###                                       
30.10.2011	13:20:00      2.024222968       ###    ###    ###       ###                                       
30.10.2011	13:30:00       2.02250169       ###    ###    ###       ###                                       
30.10.2011	13:40:00      2.0206307352.28979214    ###    ###       ###                                       
30.10.2011	13:50:00      2.017497974       ###    ###    ###       ###                                       
30.10.2011	14:00:00      2.012571239       ###    ###    ###       ###                                       
30.10.2011	14:10:00      2.004782651       ###    ###    ###       ###                                       
30.10.2011	14:20:00       2.06553364       ###    ###    ###       ###                                       
30.10.2011	14:30:00       2.06553364       ###    ###    ###       ###                                       
30.10.2011	14:40:00       2.06553364       ###    ###    ###       ###                                       
30.10.2011	14:50:00       2.06553364       ###    ###    ###       ###                                       
30.10.2011	15:00:00       2.065533642.27987962    ###    ###       ###                                       
31.10.2011	13:00:00      1.622919289       ###    ###    ###         0                                       
31.10.2011	13:10:00       1.25233142       ###    ###    ###         0                                       
31.10.2011	13:20:00      0.906539764       ###    ###    ###         0                                       
31.10.2011	13:30:00      0.755048011       ###    ###    ###         0                                       
31.10.2011	13:40:00      0.730239166       ###    ###    ###         0                                       
31.10.2011	13:50:00      0.871008162       ###    ###    ###         0                                       
31.10.2011	14:00:00      1.137540266       ###    ###    ###         0                                       
31.10.2011	14:10:00       1.31551278       ###    ###    ###         0                                       
