	MV1_02_Oberseite DIFF	MV2_01_Oberseite DIFF	MV2_02_Oberseite DIFF	MV3_01_Oberseite DIFF	MV3_03_Oberseite DIFF	MV4_01_Oberseite DIFF	MV4_03_Oberseite DIFF
1350	40.9	54.0	49.6	46.9	27.1	61.0	40.0
1345	40.9	54.1	49.7	46.8	27.1	61.1	40.1
1340	40.9	54.1	49.8	46.8	27.0	61.1	40.1
1335	40.9	54.2	49.8	46.7	27.0	61.2	40.1
1330	40.9	54.3	49.9	46.7	26.9	61.2	40.1
1325	40.9	54.3	49.9	46.6	26.9	61.2	40.1
1320	40.9	54.3	50.0	46.6	26.8	61.2	40.1
1315	40.9	54.4	50.1	46.5	26.8	61.2	40.1
1310	40.9	54.5	50.1	46.5	26.8	61.2	40.1
1305	41.0	54.5	50.2	46.5	26.8	61.2	40.1
1300	41.0	54.6	50.3	46.4	26.8	61.2	40.1
1295	41.1	54.7	50.4	46.4	26.8	61.2	40.2
1290	41.1	54.7	50.4	46.4	26.8	61.2	40.2
1285	41.1	54.8	50.5	46.4	26.7	61.2	40.2
1280	41.2	54.9	50.6	46.3	26.7	61.2	40.2
1275	41.2	54.9	50.6	46.3	26.7	61.2	40.2
1270	41.2	54.9	50.7	46.3	26.6	61.2	40.2
1265	41.2	55.0	50.7	46.2	26.6	61.1	40.1
1260	41.1	55.0	50.7	46.1	26.5	61.1	40.1
1255	41.1	55.0	50.7	46.1	26.5	61.1	40.0
1250	41.1	55.0	50.8	46.0	26.4	61.0	40.0
1245	41.1	55.1	50.8	46.0	26.4	61.0	40.0
1240	41.1	55.1	50.8	45.9	26.4	61.0	39.9
1235	41.1	55.1	50.9	45.9	26.3	61.0	39.9
1230	41.1	55.1	50.9	45.8	26.3	61.0	39.9
1225	41.1	55.2	50.9	45.8	26.2	60.9	39.8
1220	41.1	55.2	51.0	45.7	26.2	60.9	39.8
1215	41.1	55.2	51.0	45.7	26.2	60.9	39.8
1210	41.1	55.3	51.1	45.6	26.1	60.9	39.8
1205	41.1	55.3	51.1	45.6	26.1	60.9	39.7
1200	41.1	55.3	51.1	45.5	26.1	60.9	39.7
1195	41.1	55.4	51.2	45.5	26.0	60.9	39.7
1190	41.0	55.4	51.2	45.5	26.0	60.9	39.7
1185	41.0	55.4	51.3	45.4	26.0	60.9	39.7
1180	41.0	55.5	51.3	45.4	25.9	60.9	39.7
1175	41.0	55.5	51.4	45.3	25.9	60.9	39.7
1170	41.0	55.5	51.4	45.3	25.9	60.9	39.7
1165	41.0	55.6	51.4	45.3	25.9	60.9	39.7
1160	41.0	55.6	51.5	45.2	25.8	60.9	39.7
1155	41.0	55.6	51.5	45.2	25.8	60.9	39.7
1150	41.0	55.6	51.5	45.1	25.8	60.9	39.7
1145	41.0	55.7	51.6	45.1	25.8	60.9	39.7
1140	41.0	55.7	51.6	45.1	25.8	60.9	39.7
1135	41.0	55.8	51.7	45.1	25.7	60.9	39.7
1130	41.0	55.8	51.7	45.0	25.7	61.0	39.7
1125	41.0	55.8	51.8	45.0	25.7	61.0	39.7
1120	41.0	55.9	51.8	45.0	25.7	61.0	39.7
1115	40.9	55.9	51.9	45.0	25.7	61.0	39.7
1110	40.9	55.9	51.9	44.9	25.7	61.0	39.7
1105	40.9	56.0	51.9	44.9	25.7	61.0	39.7
1100	40.9	56.0	52.0	44.9	25.7	61.0	39.7
1095	40.9	56.1	52.0	44.9	25.7	61.0	39.7
1090	40.9	56.1	52.0	44.9	25.7	61.0	39.7
1085	40.9	56.1	52.1	44.9	25.7	61.1	39.7
1080	40.9	56.2	52.1	44.8	25.7	61.1	39.7
1075	40.8	56.2	52.1	44.8	25.7	61.1	39.7
1070	40.8	56.2	52.2	44.8	25.7	61.1	39.7
1065	40.8	56.3	52.2	44.8	25.7	61.1	39.7
1060	40.9	56.3	52.3	44.9	25.7	61.1	39.7
1055	40.9	56.4	52.4	44.9	25.8	61.2	39.7
1050	40.9	56.4	52.4	44.9	25.8	61.2	39.7
1045	40.9	56.5	52.5	44.9	25.8	61.2	39.7
1040	40.9	56.5	52.5	44.9	25.8	61.2	39.8
1035	40.9	56.6	52.6	44.9	25.9	61.2	39.8
1030	40.9	56.6	52.6	44.9	25.9	61.3	39.8
1025	40.9	56.7	52.7	45.0	26.0	61.3	39.8
1020	41.0	56.7	52.8	45.0	26.0	61.3	39.8
1015	41.0	56.8	52.8	45.0	26.0	61.3	39.8
1010	41.0	56.8	52.9	45.0	26.1	61.4	39.9
1005	41.1	56.9	53.0	45.1	26.1	61.4	39.9
1000	41.1	57.0	53.0	45.1	26.2	61.4	39.9
995	41.1	57.0	53.1	45.2	26.2	61.5	40.0
990	41.2	57.1	53.2	45.2	26.3	61.5	40.0
985	41.2	57.2	53.3	45.2	26.4	61.5	40.1
980	41.3	57.3	53.4	45.3	26.4	61.6	40.1
975	41.3	57.3	53.5	45.3	26.5	61.6	40.2
970	41.4	57.4	53.5	45.4	26.6	61.6	40.2
965	41.4	57.5	53.6	45.4	26.6	61.7	40.3
960	41.5	57.6	53.7	45.5	26.7	61.7	40.3
955	41.6	57.6	53.8	45.5	26.8	61.8	40.4
950	41.6	57.7	53.9	45.6	26.8	61.8	40.4
945	41.7	57.8	54.0	45.6	26.9	61.9	40.5
940	41.7	57.9	54.1	45.7	27.0	61.9	40.6
935	41.8	57.9	54.2	45.8	27.1	62.0	40.6
930	41.8	58.0	54.2	45.8	27.1	62.0	40.7
925	41.9	58.1	54.3	45.9	27.2	62.0	40.7
920	41.9	58.2	54.4	45.9	27.3	62.1	40.8
915	42.0	58.2	54.5	46.0	27.4	62.1	40.9
910	42.1	58.3	54.6	46.0	27.4	62.2	41.0
905	42.1	58.5	54.8	46.0	27.6	62.2	41.2
900	42.1	58.7	54.9	46.0	27.7	62.1	41.3
895	42.1	58.9	55.0	46.0	27.8	61.9	41.5
890	42.1	59.0	55.2	45.9	27.8	61.6	41.6
885	42.0	59.2	55.3	45.8	27.9	61.3	41.7
880	41.9	59.3	55.4	45.6	28.0	60.9	41.9
875	41.7	59.4	55.5	45.5	28.1	60.6	42.0
870	41.6	59.6	55.6	45.2	28.1	60.5	42.2
865	41.4	59.7	55.7	45.0	28.2	60.4	42.3
860	41.2	59.9	55.8	44.8	28.3	60.4	42.4
855	41.2	60.0	55.9	44.7	28.3	60.3	42.6
850	41.0	60.1	56.0	44.5	28.4	60.3	42.7
845	40.8	60.2	56.1	44.3	28.4	60.2	42.8
840	40.7	60.3	56.1	44.1	28.5	60.2	42.9
835	40.5	60.1	56.2	43.9	28.5	60.1	43.0
830	40.4	60.0	56.1	43.7	28.5	60.1	43.1
825	40.2	59.9	56.0	43.6	28.6	60.1	43.2
820	40.1	59.8	55.8	43.4	28.6	60.0	43.0
815	40.0	59.6	55.7	43.2	28.6	60.0	42.8
810	39.9	59.5	55.5	43.0	28.7	60.0	42.6
805	39.8	59.4	55.4	42.9	28.4	59.9	42.4
800	39.7	59.2	55.2	42.8	28.0	60.0	42.1
795	39.6	59.0	55.0	42.7	27.7	60.1	41.9
790	39.5	58.8	54.9	42.6	27.4	60.3	41.7
785	39.5	58.6	54.8	42.6	27.2	60.5	41.4
780	39.5	58.5	54.7	42.6	26.9	60.9	41.2
775	39.6	58.3	54.5	42.7	26.6	61.3	41.0
770	39.6	58.2	54.4	42.8	26.3	61.6	40.7
765	39.7	58.1	54.3	42.9	26.1	61.7	40.5
760	39.8	57.9	54.2	43.1	25.9	61.8	40.3
755	40.0	57.8	54.1	43.2	25.6	61.9	40.1
750	40.0	57.7	54.0	43.2	25.4	61.9	39.9
745	40.1	57.6	53.9	43.3	25.2	61.9	39.8
740	40.1	57.5	53.9	43.4	25.0	61.9	39.6
735	40.2	57.4	53.8	43.5	24.9	61.9	39.4
730	40.3	57.6	53.8	43.6	24.7	62.0	39.3
725	40.4	57.7	53.9	43.6	24.5	62.0	39.1
720	40.4	57.8	54.1	43.7	24.3	62.0	38.9
715	40.5	58.0	54.2	43.8	24.1	62.0	39.0
710	40.5	58.1	54.3	43.9	23.9	62.0	39.1
705	40.6	58.2	54.5	43.9	23.7	62.0	39.1
700	40.6	58.3	54.6	44.0	23.9	62.0	39.2
695	40.7	58.5	54.7	44.1	24.0	61.9	39.3
690	40.7	58.6	54.9	44.1	24.2	61.9	39.3
685	40.8	58.7	55.0	44.2	24.3	61.9	39.4
680	40.8	58.8	55.1	44.2	24.4	61.9	39.4
675	40.8	58.9	55.2	44.2	24.5	61.9	39.5
670	40.9	59.0	55.3	44.3	24.7	61.8	39.5
665	40.9	59.0	55.4	44.3	24.8	61.8	39.5
660	40.9	59.1	55.4	44.3	24.9	61.8	39.5
